year,pt,rs,herb,tillage,ed90
2019,early,15,yes,till,189.6
2019,early,15,yes,notill,192.3
2019,early,15,no,till,189.8
2019,early,15,no,notill,192.6
2019,early,30,yes,till,198.7
2019,early,30,yes,notill,206.7
2019,early,30,no,till,197.1
2019,early,30,no,notill,201.6
2019,late,15,yes,till,208.7
2019,late,15,yes,notill,203.1
2019,late,15,no,till,200.6
2019,late,15,no,notill,203.3
2019,late,30,yes,till,208.9
2019,late,30,yes,notill,209.7
2019,late,30,no,till,207.7
2019,late,30,no,notill,209.7
2019,late,15,no,till,197.7
2019,early,30,no,till,196.1
2019,late,15,no,notill,200
2019,late,30,no,notill,210
2019,late,30,no,till,215
2019,early,30,no,notill,197.6
2019,early,15,yes,notill,197.5
2019,late,15,yes,till,200.5
2019,early,15,no,till,192
2019,late,30,yes,till,204.8
2019,late,15,yes,notill,202
2019,late,30,yes,notill,211.6
2019,early,15,yes,till,195.7
2019,early,30,yes,notill,208.2
2019,early,30,yes,till,203.5
2019,early,15,no,notill,195.3
2019,late,30,no,notill,208.4
2019,early,30,no,till,197.2
2019,late,15,no,till,200
2019,early,30,yes,till,197.3
2019,early,15,yes,notill,199.1
2019,early,30,yes,notill,204.3
2019,early,30,no,notill,201.6
2019,early,15,no,notill,194
2019,late,15,yes,notill,204.8
2019,early,15,yes,till,191.9
2019,late,30,yes,notill,209.3
2019,early,15,no,till,190.7
2019,late,30,no,till,207.2
2019,late,15,no,notill,199.4
2019,late,15,yes,till,197.3
2019,late,30,yes,till,207.9
2019,early,30,no,notill,199
2019,early,15,no,till,185.4
2019,early,30,yes,till,203.5
2019,late,30,no,till,204.2
2019,early,15,no,notill,195.6
2019,late,15,yes,till,197.5
2019,late,30,no,notill,209.9
2019,early,30,yes,notill,206.2
2019,late,15,no,till,209.5
2019,early,15,yes,till,195.2
2019,early,15,yes,notill,196.4
2019,late,15,no,notill,206.9
2019,early,30,no,till,200
2019,late,30,yes,till,210.4
2019,late,30,yes,notill,207
2019,late,15,yes,notill,203.8
2020,early,15,yes,till,186.3
2020,early,15,yes,notill,185
2020,early,15,no,till,183.4
2020,early,15,no,notill,186.6
2020,early,30,yes,till,189.5
2020,early,30,yes,notill,193.9
2020,early,30,no,till,184.2
2020,early,30,no,notill,193
2020,late,15,yes,till,184
2020,late,15,yes,notill,194.5
2020,late,15,no,till,189
2020,late,15,no,notill,184.8
2020,late,30,yes,till,193.8
2020,late,30,yes,notill,196.2
2020,late,30,no,till,190
2020,late,30,no,notill,192
2020,late,15,no,till,185.8
2020,early,30,no,till,185.1
2020,late,15,no,notill,184.9
2020,late,30,no,notill,185.4
2020,late,30,no,till,184.5
2020,early,30,no,notill,191.8
2020,early,15,yes,notill,185.1
2020,late,15,yes,till,190.3
2020,early,15,no,till,183.2
2020,late,30,yes,till,194.7
2020,late,15,yes,notill,193.7
2020,late,30,yes,notill,184.2
2020,early,15,yes,till,189.1
2020,early,30,yes,notill,195.3
2020,early,30,yes,till,190.1
2020,early,15,no,notill,188.1
2020,late,30,no,notill,198.4
2020,early,30,no,till,184.8
2020,late,15,no,till,185.8
2020,early,30,yes,till,189.6
2020,early,15,yes,notill,187.9
2020,early,30,yes,notill,193.8
2020,early,30,no,notill,192.6
2020,early,15,no,notill,187.9
2020,late,15,yes,notill,195.4
2020,early,15,yes,till,185.9
2020,late,30,yes,notill,202
2020,early,15,no,till,183.1
2020,late,30,no,till,196.4
2020,late,15,no,notill,185.7
2020,late,15,yes,till,190.9
2020,late,30,yes,till,194.4
2020,early,30,no,notill,194
2020,early,15,no,till,182.4
2020,early,30,yes,till,191.2
2020,late,30,no,till,196
2020,early,15,no,notill,189.6
2020,late,15,yes,till,189.2
2020,late,30,no,notill,195.2
2020,early,30,yes,notill,194.6
2020,late,15,no,till,185.9
2020,early,15,yes,till,188.3
2020,early,15,yes,notill,188.7
2020,late,15,no,notill,195.9
2020,early,30,no,till,184.5
2020,late,30,yes,till,193.3
2020,late,30,yes,notill,203.6
2020,late,15,yes,notill,200.5
